date,year,month,quarter,avg_price,min_price,max_price,price_change,price_change_pct,price_volatility,n_conflicts,total_deaths,conflict_period,conflict_indicator,conflict_lag_1y,conflict_lag_3y,conflict_lag_5y
1983-01-01,1983,1,1,30.468,29.23,32,NA,NA,NA,0,0,0,0,0,0,0
1984-01-01,1984,1,1,29.2408,26.41,30.85,-1.2272,-4.0277,0.8677,0,0,0,0,0,0,0
1985-01-01,1985,1,1,27.8733,26.3,30.38,-1.3675,-4.6767,1.298,0,0,0,0,0,0,0
1986-01-01,1986,1,1,14.4133,10.42,18.83,-13.46,-48.2899,8.1945,0,0,0,0,0,0,0
1987-01-01,1987,1,1,19.0367,16.6,21.37,4.6233,32.0768,6.839,0,0,0,0,0,0,0
1988-01-01,1988,1,1,15.9742,13.37,17.99,-3.0625,-16.0874,2.352,0,0,0,0,0,0,0
1989-01-01,1989,1,1,19.5733,17.03,21.82,3.5992,22.5312,1.9417,212,202038,1,1,0,0,0
1990-01-01,1990,1,1,24.7958,17.07,39.51,5.2225,26.6817,4.4357,212,286233,1,1,1,0,0
1991-01-01,1991,1,1,21.0933,19.12,23.37,-3.7025,-14.9319,2.6862,212,251856,1,1,1,0,0
1992-01-01,1992,1,1,20.5542,18.68,22.11,-0.5392,-2.5561,2.3091,212,226701,1,1,1,1,0
1993-01-01,1993,1,1,18.515,14.17,20.6,-2.0392,-9.9209,1.3599,212,221328,1,1,1,1,0
1994-01-01,1994,1,1,17.3967,14.48,19.77,-1.1183,-6.0401,1.601,212,2470497,1,1,1,1,1
1995-01-01,1995,1,1,18.4192,17.4,20.38,1.0225,5.8776,0.6199,212,186903,1,1,1,1,1
1996-01-01,1996,1,1,21.725,17.74,25.92,3.3058,17.9478,2.2623,212,262137,1,1,1,1,1
1997-01-01,1997,1,1,20.3792,17.64,24.15,-1.3458,-6.1949,1.6624,212,197652,1,1,1,1,1
1998-01-01,1998,1,1,14.5342,11.22,17.21,-5.845,-28.6813,3.8228,212,183297,1,1,1,1,1
1999-01-01,1999,1,1,19.6383,12.27,25.6,5.1042,35.1184,3.1824,212,301680,1,1,1,1,1
2000-01-01,2000,1,1,29.7442,25.74,33.82,10.1058,51.4597,7.7408,212,281298,1,1,1,1,1
2001-01-01,2001,1,1,25.2383,19.44,28.66,-4.5058,-15.1486,5.0628,212,112851,1,1,1,1,1
2002-01-01,2002,1,1,26.5625,19.48,31.2,1.3242,5.2466,2.3158,212,123888,1,1,1,1,1
2003-01-01,2003,1,1,30.8375,25.8,36.6,4.275,16.0941,2.9263,212,120717,1,1,1,1,1
2004-01-01,2004,1,1,41.5983,33.05,51.76,10.7608,34.8953,7.7476,212,108240,1,1,1,1,1
2005-01-01,2005,1,1,57.2842,48.2,68.94,15.6858,37.7078,13.2995,212,60894,1,1,1,1,1
2006-01-01,2006,1,1,66.9617,58.73,74.4,9.6775,16.8938,12.7997,212,83040,1,1,1,1,1
2007-01-01,2007,1,1,74.9442,58.14,95.98,7.9825,11.921,8.8435,212,84882,1,1,1,1,1
2008-01-01,2008,1,1,98.5833,44.6,140,23.6392,31.5424,16.4441,212,117933,1,1,1,1,1
2009-01-01,2009,1,1,63.9233,41.68,79.36,-34.66,-35.1581,17.7087,212,149808,1,1,1,1,1
2010-01-01,2010,1,1,79.985,71.92,91.38,16.0617,25.1265,17.3455,212,100455,1,1,1,1,1
2011-01-01,2011,1,1,97.0017,79.2,113.93,17.0167,21.2748,16.5415,212,122088,1,1,1,1,1
2012-01-01,2012,1,1,94.0517,84.96,107.07,-2.95,-3.0412,9.0934,212,269958,1,1,1,1,1
2013-01-01,2013,1,1,97.6075,91.97,107.65,3.5558,3.7807,1.9023,212,343107,1,1,1,1,1
2014-01-01,2014,1,1,91.2275,53.27,105.37,-6.38,-6.5364,3.197,212,452340,1,1,1,1,1
2015-01-01,2015,1,1,49.3075,37.04,60.3,-41.92,-45.9511,26.2389,212,393303,1,1,1,1,1
2016-01-01,2016,1,1,44.4683,33.62,53.72,-4.8392,-9.8143,25.7136,212,346938,1,1,1,1,1
2017-01-01,2017,1,1,51.855,46.04,60.42,7.3867,16.6111,3.7521,212,336987,1,1,1,1,1
2018-01-01,2018,1,1,64.5897,45.41,74.15,12.7347,24.5584,10.1785,212,263877,1,1,1,1,1
2019-01-01,2019,1,1,57.1827,53.5,63.91,-7.407,-11.4678,6.3956,212,231306,1,1,1,1,1
2020-01-01,2020,1,1,38.5958,18.84,51.56,-18.5869,-32.5044,13.3917,212,308307,1,1,1,1,1
2021-01-01,2021,1,1,68.0692,52.2,81.78,29.4733,76.364,14.9034,212,700917,1,1,1,1,1
2022-01-01,2022,1,1,92.2892,78.72,111.91,24.22,35.5815,26.8895,212,925842,1,1,1,1,1
2023-01-01,2023,1,1,77.4367,68.24,88.8,-14.8525,-16.0934,12.2131,212,480810,1,1,1,1,1
2024-01-01,2024,1,1,75.4986,68.17,83.1235,-1.938,-2.5027,9.1858,212,479511,1,1,1,1,1
2025-01-01,2025,1,1,64.2058,57.42,72.53,-11.2928,-14.9576,7.1454,0,0,0,0,1,1,1
2026-01-01,2026,1,1,69.2895,65.21,75.6386,5.0837,7.9178,5.6557,0,0,0,0,0,1,1
